productkey,productsubcategorykey,productsku,productname,modelname,productdescription,productcolor,productsize,productstyle,productcost,productprice,total_revenue,total_units,total_profit,unique_customers,first_sale,last_sale,sales_days,profit_margin,avg_order_value,days_active,sales_velocity,product_cluster,product_segment
262,14,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,44,U,181.4857,306.5636,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,48,U,181.4857,306.5636,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
266,14,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,52,U,181.4857,306.5636,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
268,14,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,58,U,181.4857,306.5636,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
270,14,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,60,U,181.4857,306.5636,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
272,14,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,62,U,181.4857,306.5636,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
274,14,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,44,U,352.1394,594.83,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,48,U,352.1394,594.83,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
276,14,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,52,U,352.1394,594.83,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,58,U,352.1394,594.83,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
278,14,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,60,U,352.1394,594.83,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
279,14,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,44,U,176.1997,297.6346,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,48,U,176.1997,297.6346,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,52,U,176.1997,297.6346,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
288,12,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,42,U,623.8403,1204.3248,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,44,U,706.811,1364.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
292,12,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,48,U,706.811,1364.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,46,U,623.8403,1204.3248,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,42,U,617.0281,1191.1739,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
299,12,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,44,U,699.0928,1349.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
300,12,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,48,U,699.0928,1349.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
301,12,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,46,U,617.0281,1191.1739,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,38,U,617.0281,1191.1739,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
307,12,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,38,U,623.8403,1204.3248,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
310,2,BK-R93R-62,"Road-150 Red, 62",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,62,U,2171.2942,3578.27,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
311,2,BK-R93R-44,"Road-150 Red, 44",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,44,U,2171.2942,3578.27,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
312,2,BK-R93R-48,"Road-150 Red, 48",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,48,U,2171.2942,3578.27,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
313,2,BK-R93R-52,"Road-150 Red, 52",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,52,U,2171.2942,3578.27,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
314,2,BK-R93R-56,"Road-150 Red, 56",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,56,U,2171.2942,3578.27,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
315,2,BK-R68R-58,"Road-450 Red, 58",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,58,U,884.7083,1457.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
316,2,BK-R68R-60,"Road-450 Red, 60",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,60,U,884.7083,1457.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
317,2,BK-R68R-44,"Road-450 Red, 44",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,44,U,884.7083,1457.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
318,2,BK-R68R-48,"Road-450 Red, 48",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,48,U,884.7083,1457.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
319,2,BK-R68R-52,"Road-450 Red, 52",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,52,U,884.7083,1457.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
320,2,BK-R50R-58,"Road-650 Red, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,58,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
322,2,BK-R50R-60,"Road-650 Red, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,60,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
324,2,BK-R50R-62,"Road-650 Red, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,62,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
326,2,BK-R50R-44,"Road-650 Red, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,44,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
328,2,BK-R50R-48,"Road-650 Red, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,48,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
330,2,BK-R50R-52,"Road-650 Red, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,52,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
332,2,BK-R50B-58,"Road-650 Black, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,58,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
334,2,BK-R50B-60,"Road-650 Black, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,60,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
336,2,BK-R50B-62,"Road-650 Black, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,62,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
338,2,BK-R50B-44,"Road-650 Black, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,44,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
340,2,BK-R50B-48,"Road-650 Black, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,48,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
342,2,BK-R50B-52,"Road-650 Black, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,52,U,413.1463,699.0982,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
344,1,BK-M82S-38,"Mountain-100 Silver, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,38,U,1912.1544,3399.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
345,1,BK-M82S-42,"Mountain-100 Silver, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,42,U,1912.1544,3399.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,44,U,1912.1544,3399.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
347,1,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,48,U,1912.1544,3399.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
348,1,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,38,U,1898.0944,3374.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,42,U,1898.0944,3374.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
350,1,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,44,U,1898.0944,3374.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
351,1,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,48,U,1898.0944,3374.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,38,U,598.4354,1079.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,40,U,598.4354,1079.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,44,U,598.4354,1079.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,48,U,598.4354,1079.99,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
368,2,BK-R89R-44,"Road-250 Red, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,44,U,1518.7864,2443.35,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
369,2,BK-R89R-48,"Road-250 Red, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,48,U,1518.7864,2443.35,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
370,2,BK-R89R-52,"Road-250 Red, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,52,U,1518.7864,2443.35,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
391,10,FK-1639,LL Fork,LL Fork,Stout design absorbs shock and offers more precise steering.,,0,0,65.8097,148.22,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
392,10,FK-5136,ML Fork,ML Fork,Composite road fork with an aluminum steerer tube.,,0,0,77.9176,175.49,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
393,10,FK-9939,HL Fork,HL Fork,High-performance carbon road fork with curved legs.,,0,0,101.8936,229.49,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
394,11,HS-0296,LL Headset,LL Headset,Threadless headset provides quality at an economical price.,,0,0,15.1848,34.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
395,11,HS-2451,ML Headset,ML Headset,Sealed cartridge keeps dirt out.,,0,0,45.4168,102.29,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
396,11,HS-3479,HL Headset,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",,0,0,55.3801,124.73,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
397,4,HB-M243,LL Mountain Handlebars,LL Mountain Handlebars,All-purpose bar for on or off-road.,,0,0,17.978,40.4909,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,,0,0,24.9932,56.2909,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
401,4,HB-M918,HL Mountain Handlebars,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,,0,0,48.5453,109.3364,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
403,4,HB-R504,LL Road Handlebars,LL Road Handlebars,Unique shape provides easier reach to the levers.,,0,0,17.978,40.4909,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,,0,0,24.9932,56.2909,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
407,4,HB-R956,HL Road Handlebars,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,,0,0,48.5453,109.3364,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
409,12,FR-M63B-38,"ML Mountain Frame - Black, 38",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Black,38,U,185.8193,348.76,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,0,0,26.9708,60.745,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,0,92.8071,209.025,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
412,17,FW-M928,HL Mountain Front Wheel,HL Mountain Front Wheel,High-performance mountain replacement wheel.,Black,0,0,133.2955,300.215,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
413,17,FW-R623,LL Road Front Wheel,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Black,0,0,37.9909,85.565,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
414,17,FW-R762,ML Road Front Wheel,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Black,0,0,110.2829,248.385,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
415,17,FW-R820,HL Road Front Wheel,HL Road Front Wheel,Strong wheel with double-walled rim.,Black,0,0,146.5466,330.06,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
416,17,FW-T905,Touring Front Wheel,Touring Front Wheel,Aerodynamic rims for smooth riding.,Black,0,0,96.7964,218.01,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
417,14,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,38,W,300.1188,540.7545,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,0,0,38.9588,87.745,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,0,104.7951,236.025,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
421,17,RW-M928,HL Mountain Rear Wheel,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Black,0,0,145.2835,327.215,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
422,17,RW-R623,LL Road Rear Wheel,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Black,0,0,49.9789,112.565,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,0,0,122.2709,275.385,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
