customerkey,macro_segment,persona_label,micro_segment_id,clv_simple,churn_risk_heuristic,rfm_sum,total_revenue,age,annual_income_usd,education_level,market,gender
11385,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_M,12254.868,0.960110497237569,3,27.96,50,146612,High School,US,M
11393,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Bachelor_US_M,12254.868,0.9269613259668508,3,27.96,27,72354,Bachelor,US,M
11397,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Some College_US_M,20388.883230000003,0.9567955801104971,3,46.5181,32,135001,Some College,US,M
11420,At-risk,Middle_Age_Mainstream,At-risk_Middle_Age_Mainstream_High School_US_M,21921.30636352941,0.3994475138121547,15,6801.9568,18,15000,High School,US,M
11425,At-risk,Middle_Age_Mainstream,At-risk_Middle_Age_Mainstream_Master_AU_M,16031.161452,0.3465193370165746,15,6035.0026,21,37819,Master,AU,M
11427,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Some College_US_F,16785.283431272732,0.5920441988950277,13,4212.5968,63,51200,Some College,US,F
11434,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_F,18838.134,0.9302762430939228,3,42.98,61,95019,Some College,US,F
11464,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_F,1060273.998,0.9766850828729282,7,2419.06,39,136669,Some College,US,F
11465,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_F,1068601.698,0.9369060773480664,7,2438.06,61,53901,Some College,US,F
11501,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_Some College_US_M,1646.1534923353292,0.2266298342541436,13,627.2134,36,108818,Some College,US,M
11502,At-risk,Middle_Age_Mainstream,At-risk_Middle_Age_Mainstream_Some College_US_M,1554.4644865909088,0.3859668508287293,12,468.1481,35,152882,Some College,US,M
11505,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_High School_AU_F,1217.419773157895,0.2765745856353591,13,474.9687,39,125072,High School,AU,F
11506,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Master_US_M,1767.535199181818,0.4420994475138121,11,443.5977,37,60444,Master,US,M
11507,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_Some College_AU_M,1261.1604865384616,0.2597790055248619,13,448.873,35,102794,Some College,AU,M
11530,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Bachelor_AU_F,1389.629716039604,0.5651933701657459,11,320.2204,53,85861,Bachelor,AU,F
11545,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_F,23663.817,0.9369060773480664,3,53.99,40,51499,Some College,US,F
11563,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Some College_AU_M,23663.817,0.9634254143646408,3,53.99,47,88673,Some College,AU,M
11581,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_High School_US_M,530.8845440000001,0.4826519337016575,12,163.51680000000002,52,57996,High School,US,M
11602,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Bachelor_US_F,14746.25286,0.9468508287292816,3,33.6442,44,78932,Bachelor,US,F
11642,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Bachelor_US_F,969.8687198843932,0.3565745856353591,13,382.8138,25,26336,Bachelor,US,F
11643,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_F,8976.384,0.9667403314917128,3,20.48,20,15000,High School,US,F
11646,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_High School_US_F,4932.544923,0.8771270718232045,8,112.5381,40,64551,High School,US,F
11662,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Master_US_M,31241.322720000004,0.960110497237569,4,71.2784,36,85714,Master,US,M
11667,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_Master_CA_F,245.57922754491017,0.3931491712707182,12,93.57,42,34564,Master,CA,F
11684,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_Some College_US_F,266.1260797546012,0.416353591160221,12,98.97,38,93000,Some College,US,F
11692,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_F,17527.617,0.9567955801104971,3,39.99,73,76076,Some College,US,F
11709,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_Master_US_M,1463.7024072727272,0.5919337016574586,11,330.6104,20,97338,Master,US,M
11713,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_High School_US_F,661.4411082352941,0.4859668508287293,12,205.2384,18,107677,High School,US,F
11734,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Bachelor_CA_F,17347.914,0.9567955801104971,3,39.58,45,108707,Bachelor,CA,F
11737,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Some College_US_M,20718.441000000003,0.923646408839779,3,47.27,33,95694,Some College,US,M
11748,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Bachelor_AU_F,361.57234539130434,0.5322651933701658,11,94.8684,42,65551,Bachelor,AU,F
11752,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_High School_US_F,423.1348200000001,0.436243093922652,13,144.81,46,81190,High School,US,F
11759,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_F,1044937.881,0.9501657458563536,7,2384.07,56,156101,Bachelor,US,F
11762,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_M,1068601.698,0.960110497237569,7,2438.06,18,109071,Some College,US,M
11764,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_CA_M,1044937.881,0.9567955801104971,7,2384.07,33,70546,Master,CA,M
11766,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_F,1096163.1415800003,0.9468508287292816,7,2500.9426000000003,44,69311,Bachelor,US,F
11767,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_US_F,1080916.2624600003,0.940220994475138,7,2466.1562000000004,49,53641,Master,US,F
11768,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_US_F,1059684.1338600002,0.9335911602209944,7,2417.7142000000003,68,33028,Master,US,F
11792,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_M,35814.15045,0.98,4,81.7115,51,134363,Some College,US,M
11795,At-risk,Budget_Conscious_Families,At-risk_Budget_Conscious_Families_High School_US_M,255.2665693333334,0.472707182320442,11,78.6242,38,91327,High School,US,M
11846,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Bachelor_US_M,21067.897590000004,0.9468508287292816,3,48.0673,26,30170,Bachelor,US,M
11852,Lost,Price_Sensitive_Shoppers,Lost_Price_Sensitive_Shoppers_Master_AU_M,1047.7148009433963,0.7511602209944752,10,126.6915,31,70989,Master,AU,M
11858,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_M,15340.5,0.940220994475138,3,35.0,30,119047,High School,US,M
11860,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Some College_US_M,229.66986916030527,0.5158011049723757,11,68.6442,47,58937,Some College,US,M
11869,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_High School_US_M,789.7884490243902,0.4991160220994475,12,221.6381,42,46072,High School,US,M
11882,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_F,6968.970000000001,0.940220994475138,3,15.9,21,87066,High School,US,F
11890,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Bachelor_US_F,35978.381460000004,0.9634254143646408,4,82.0862,33,97615,Bachelor,US,F
11891,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Bachelor_US_M,15336.116999999998,0.98,3,34.99,50,58981,Bachelor,US,M
11894,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_F,1087873.749,0.960110497237569,7,2482.03,43,53596,Bachelor,US,F
11896,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_AU_M,1059787.485,0.94353591160221,7,2417.9500000000003,45,89738,Master,AU,M
11899,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_F,1060273.998,0.9534806629834254,7,2419.06,44,35210,High School,US,F
11900,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,1090925.45658,0.94353591160221,7,2488.9926,60,55742,High School,US,M
11903,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_US_F,1068601.698,0.9369060773480664,7,2438.06,42,70367,Master,US,F
11904,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_M,1059684.1338600002,0.9766850828729282,7,2417.7142000000003,33,100446,Some College,US,M
11905,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_F,1070350.515,0.960110497237569,7,2442.05,26,59611,High School,US,F
11906,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_F,1044937.881,0.940220994475138,7,2384.07,42,94295,Bachelor,US,F
11911,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_Master_US_F,256.3162557831326,0.3865193370165746,12,97.0762,18,115391,Master,US,F
11937,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_M,911251.20906,0.9733701657458564,6,2079.0582,36,56854,Bachelor,US,M
11949,Lost,Budget_Conscious_Families,Lost_Budget_Conscious_Families_Bachelor_US_F,436.0398965217392,0.678232044198895,10,68.6442,36,187382,Bachelor,US,F
11975,Lost,Price_Sensitive_Shoppers,Lost_Price_Sensitive_Shoppers_Some College_US_F,1128.5438052272727,0.6119337016574586,11,226.5842,20,124265,Some College,US,F
11991,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Some College_US_F,12297.156599627331,0.3931491712707182,15,4517.093800000001,26,84115,Some College,US,F
11992,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Master_US_M,13127.838876000002,0.4196685082872928,15,4492.758,49,68217,Master,US,M
12012,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Bachelor_US_F,1135.6840000000002,0.8174585635359117,8,69.96000000000001,42,55143,Bachelor,US,F
12033,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,931417.39206,0.9369060773480664,7,2125.0682,40,132724,High School,US,M
12038,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Some College_US_M,52271.00055,0.940220994475138,5,119.2585,43,81947,Some College,US,M
12041,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_AU_F,953648.6255100002,0.9766850828729282,7,2175.7897,39,28957,Bachelor,AU,F
12042,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,951272.99568,0.940220994475138,7,2170.3696,55,15000,High School,US,M
12057,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Bachelor_US_F,16344.207000000002,0.9567955801104971,3,37.29,40,78515,Bachelor,US,F
12068,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_High School_US_M,307.59372944055946,0.4693922651933702,11,100.3557,19,79285,High School,US,M
12078,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_F,951272.99568,0.9667403314917128,7,2170.3696,60,42486,Some College,US,F
12079,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_M,977100.69978,0.9733701657458564,7,2229.2966,43,21574,Bachelor,US,M
12108,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,934586.91468,0.9534806629834254,7,2132.2996000000003,30,15000,High School,US,M
12109,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,932133.66192,0.9369060773480664,7,2126.7024,21,48003,High School,US,M
12111,Lost,Young_Digital_Enthusiasts,Lost_Young_Digital_Enthusiasts_Master_AU_F,1154.8612702702703,0.6815469613259668,11,194.98,43,63392,Master,AU,F
12134,Lost,Budget_Conscious_Families,Lost_Budget_Conscious_Families_Bachelor_CA_F,686.8050271578949,0.6285082872928177,11,148.8626,39,89153,Bachelor,CA,F
12135,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_M,15340.5,0.9766850828729282,3,35.0,60,70018,Some College,US,M
12139,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_High School_AU_M,298.7401235294118,0.3898342541436465,12,115.87,34,109047,High School,AU,M
12165,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_CA_F,33674.589,0.9634254143646408,4,76.83,30,86552,Some College,CA,F
12166,At-risk,Budget_Conscious_Families,At-risk_Budget_Conscious_Families_Bachelor_US_F,801.5292693442624,0.4791160220994476,12,223.1042,50,92543,Bachelor,US,F
12179,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_AU_F,921034.67868,0.9534806629834254,7,2101.3796,50,106335,High School,AU,F
12180,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_M,932133.66192,0.9667403314917128,7,2126.7024,41,26045,Some College,US,M
12182,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Some College_CA_F,437.9243142857144,0.565414364640884,10,104.91,49,52312,Some College,CA,F
12183,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Some College_AU_F,47546.784,0.9501657458563536,4,108.48,38,151845,Some College,AU,F
12193,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_F,1068601.698,0.9567955801104971,7,2438.06,42,15000,High School,US,F
12196,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_High School_US_F,43222.60386,0.9369060773480664,4,98.6142,54,64157,High School,US,F
12198,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Doctorate_US_F,988639.34175,0.9501657458563536,7,2255.6225,47,91245,Doctorate,US,F
12203,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Doctorate_US_M,689.9661073125,0.3996685082872928,13,251.8699,36,15000,Doctorate,US,M
12211,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_CA_F,913455.85806,0.9302762430939228,6,2084.0882,58,45819,Some College,CA,F
12212,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_AU_M,907903.21068,0.9567955801104971,6,2071.4196,18,138871,Bachelor,AU,M
12217,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_F,898119.7410599999,0.9567955801104971,6,2049.0982,66,80545,Bachelor,US,F
12235,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_F,24343.182,0.960110497237569,3,55.54,18,54474,High School,US,F
12236,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_F,15336.116999999998,0.9369060773480664,3,34.99,30,81946,Some College,US,F
12238,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Some College_US_M,15336.116999999998,0.9501657458563536,3,34.99,38,54407,Some College,US,M
12248,Potential,Senior_Traditionalists,Potential_Senior_Traditionalists_Bachelor_US_M,236677.617,0.9468508287292816,5,539.99,36,134518,Bachelor,US,M
12250,Potential,Affluent_Professionals,Potential_Affluent_Professionals_Bachelor_US_F,247635.117,0.9468508287292816,5,564.99,52,39894,Bachelor,US,F
12253,Potential,Senior_Traditionalists,Potential_Senior_Traditionalists_Master_AU_F,304617.31659,0.9269613259668508,5,694.9973,24,58270,Master,AU,F
12270,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Bachelor_US_M,964636.7626800002,0.9468508287292816,7,2200.8596,42,22352,Bachelor,US,M
12276,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_US_M,925997.46192,0.9269613259668508,7,2112.7024,31,64239,Master,US,M
12327,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Master_US_F,4374.234,0.960110497237569,3,9.98,42,68470,Master,US,F
12371,At-risk,Budget_Conscious_Families,At-risk_Budget_Conscious_Families_Bachelor_US_M,802.0301597260274,0.452707182320442,12,267.1604,38,116427,Bachelor,US,M
12386,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_AU_F,946032.81237,0.9634254143646408,7,2158.4139,39,42464,Some College,AU,F
12411,Lost,Price_Sensitive_Shoppers,Lost_Price_Sensitive_Shoppers_High School_AU_F,669.5438333333335,0.6019889502762431,11,164.98000000000002,31,90476,High School,AU,F
12440,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_US_F,917834.47506,0.960110497237569,7,2094.0782,32,77615,Some College,US,F
12444,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Bachelor_US_F,61424.89605000001,0.9700552486187846,5,140.14350000000002,42,15000,Bachelor,US,F
12473,Potential,Senior_Traditionalists,Potential_Senior_Traditionalists_Some College_US_M,560059.7400000001,0.98,6,1277.8,51,49194,Some College,US,M
12486,Potential,Tech_Savvy_Early_Adopters,Potential_Tech_Savvy_Early_Adopters_Master_US_F,576774.8364599999,0.960110497237569,6,1315.9362,30,47802,Master,US,F
12497,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Doctorate_US_M,23909.265000000003,0.9766850828729282,3,54.55,27,133486,Doctorate,US,M
12563,Potential,Affluent_Professionals,Potential_Affluent_Professionals_Some College_US_M,76120.21845,0.9566850828729284,9,173.6715,47,93680,Some College,US,M
12610,Lost,Budget_Conscious_Families,Lost_Budget_Conscious_Families_Some College_US_F,859.1207230434784,0.7047513812154697,10,135.2483,38,79643,Some College,US,F
12611,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Master_US_F,426.713892967742,0.4428729281767956,13,150.90269999999998,50,15000,Master,US,F
12615,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_High School_US_M,14041.770348000004,0.5920441988950277,13,3363.8738000000003,26,15000,High School,US,M
12623,Lost,Price_Sensitive_Shoppers,Lost_Price_Sensitive_Shoppers_High School_AU_F,15720.460404893616,0.641767955801105,13,3371.4882,18,98289,High School,AU,F
12627,Potential,Affluent_Professionals,Potential_Affluent_Professionals_Master_US_F,78411.87,0.98,5,178.9,31,101951,Master,US,F
12628,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Bachelor_US_F,10944.351,0.9567955801104971,3,24.97,28,48601,Bachelor,US,F
12633,Lost,Middle_Age_Mainstream,Lost_Middle_Age_Mainstream_Some College_US_F,666.7771393421053,0.6583425414364641,10,115.6173,37,75548,Some College,US,F
12636,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Master_AU_M,7577.50572,0.9335911602209944,3,17.2884,30,73616,Master,AU,M
12690,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_M,5505.048,0.9634254143646408,3,12.56,48,80510,Some College,US,M
12719,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Bachelor_US_F,13131.468,0.9468508287292816,3,29.96,35,61559,Bachelor,US,F
12752,Lost,Budget_Conscious_Families,Lost_Budget_Conscious_Families_Bachelor_US_M,1342.82518875,0.6814364640883979,10,220.5873,40,103117,Bachelor,US,M
12782,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,952027.5291300002,0.9733701657458564,7,2172.0911,41,113293,High School,US,M
12788,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Some College_US_F,43647.75486,0.9634254143646408,4,99.5842,41,40993,Some College,US,F
12807,Potential,Affluent_Professionals,Potential_Affluent_Professionals_Master_US_F,236677.617,0.940220994475138,5,539.99,38,32776,Master,US,F
12859,Lost,Middle_Age_Mainstream,Lost_Middle_Age_Mainstream_High School_US_M,13842.032586728974,0.605303867403315,13,3379.1866,45,46716,High School,US,M
12861,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,926587.32606,0.9567955801104971,7,2114.0482,28,76285,High School,US,M
12892,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Some College_US_F,1079.418942,0.4394475138121547,13,332.4699,57,87027,Some College,US,F
12894,Lost,Middle_Age_Mainstream,Lost_Middle_Age_Mainstream_High School_US_F,437.995625,0.6716022099447514,10,71.95,35,102175,High School,US,F
12903,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Master_CA_F,915467.65506,0.9534806629834254,7,2088.6782,24,97542,Master,CA,F
12914,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_F,921039.06168,0.960110497237569,7,2101.3896,41,87265,High School,US,F
12959,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_Bachelor_US_M,835.5794635135135,0.5422099447513813,12,211.6115,27,82615,Bachelor,US,M
12966,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_Some College_US_F,46037.84859000001,0.9634254143646408,4,105.0373,47,132291,Some College,US,F
